name,category,lat,lng,region_sido,source,slug,alt_name,tags,address_road,region_sigungu,access_note,road_surface,parking_moto,winding_grade,senior_friendly,photo_spot,photo_note,best_season,best_time,stay_minutes,crowd_weekend,rating_personal,verified,source_url,memo,photos,status
버던트,카페,35.6860,128.6848,경북,직접방문,,Verdant,대형카페;베이커리;포토존,경북 청도군 이서면 연지로 330,청도군,,,양호,,,true,입구 식물 군락 포토존,,,,,,,,옛 연사공장 개조 2000평 대형 카페. 아보카도 커피·샌드위치 대표 메뉴,,
롯데리아 대구가창DT점,휴게쉼터,35.8035,128.6226,대구,직접방문,,,집결지;DT매장,대구 달성군 가창면 가창로 1075,달성군,,,양호,,true,,,,,,,,,,가창 방면 라이딩 집결지 — 크루와 모여서 출발하는 곳. DT 매장이라 진출입·주차 편리,,
